period,n,days,per_day,win_rate,avg_ret,profit_factor,max_dd
full_2023-2026,1502,614,2.45,84.95%,0.51%,1.80,-16.3%
train_to_20250829,959,392,2.45,83.73%,0.42%,1.59,-16.3%
test_after_20250829,543,222,2.45,87.11%,0.67%,2.31,-8.6%
year_2023,110,46,2.39,82.73%,0.42%,1.59,-11.5%
year_2024,483,199,2.43,83.64%,0.37%,1.49,-8.1%
year_2025,533,220,2.42,84.80%,0.51%,1.82,-7.6%
year_2026,376,149,2.52,87.50%,0.70%,2.45,-8.6%
same_picks_hold_to_close,1502,614,2.45,50.07%,0.99%,1.54,-30.5%
