next_date,date,code,name,auction_pct,buy_open,sell_high,sell_low,sell_close,ret,exit,win,rank_in_day,vol_ratio,float_mv_yi,range_pct,y_one_word,market_fb_n,idx_open_pct
20230131,20230130,002713,东易日盛,-0.020289855072463836,6.76,6.86,6.58,6.75,-0.0029792899408283544,close,False,1,1.4592837860456733,49.5289675755,0.09569377990430632,False,24,-0.0009726793339288609
20231020,20231019,603178,圣龙股份,-0.03373155305692199,27.5,31.31,27.26,31.31,0.0135,tp,True,1,1.4306473469871641,42.1049560061,0.07189795129493619,False,25,-0.0033373372507393695
20231023,20231020,605151,西上海,-0.04241585984324581,20.77,21.65,20.06,20.85,0.0135,tp,True,1,2.339512352382245,25.8882323128,0.09989858012170398,False,37,-0.004448452260430558
20231023,20231020,002490,山东墨龙,-0.0423728813559322,4.52,4.73,4.43,4.59,0.0135,tp,True,2,4.778837100086682,45.2879592,0.08857808857808855,False,37,-0.004448452260430558
20231023,20231020,002337,赛象科技,-0.034653465346534684,5.85,6.01,5.71,5.88,0.0135,tp,True,3,2.349200270307257,28.332807597000002,0.12341197822141556,False,37,-0.004448452260430558
20231024,20231023,002363,隆基机械,-0.024676850763807212,8.3,8.69,8.18,8.29,0.0135,tp,True,1,2.053665583753865,29.061495873299997,0.1304909560723514,False,34,0.0017078954441378524
20231025,20231024,300798,锦鸡股份,-0.03648269410664162,10.3,12.79,9.94,11.99,0.0135,tp,True,1,1.8346651342482123,38.4201295942,0.1952861952861953,False,62,0.008159365885276104
20231025,20231024,605319,无锡振华,-0.03605891315388521,18.98,21.58,18.66,20.16,0.0135,tp,True,2,1.545065738406404,93.339529752,0.09608938547486048,False,62,0.008159365885276104
20231025,20231024,300045,华力创通,-0.024787997390737115,29.9,33.08,29.6,32.12,0.0135,tp,True,3,1.5812826120188015,65.5469483352,0.08375733855185911,False,62,0.008159365885276104
20231026,20231025,002374,中锐股份,-0.02393617021276595,3.67,3.96,3.6,3.86,0.0135,tp,True,1,4.331238255831162,34.8352179843,0.09649122807017534,False,62,-0.004710652934827642
20231026,20231025,002707,众信旅游,-0.021676300578034713,6.77,6.85,6.65,6.7,-0.011839734121122545,close,False,2,2.2838908334371686,49.320847824000005,0.0874403815580286,False,62,-0.004710652934827642
20231027,20231026,002457,青龙管业,-0.030274361400189242,10.25,11.63,9.51,11.63,0.0135,tp,True,1,4.37370338604092,38.88456088,0.021852237252861693,False,41,-0.003312920389519136
20231027,20231026,002886,沃特股份,-0.02987777274784975,21.43,22.0,19.88,20.38,0.0135,tp,True,2,2.086938867677494,58.625517185599996,0.12001992031872512,False,41,-0.003312920389519136
20231027,20231026,603679,华体科技,-0.029714978775015055,16.0,16.2,15.41,15.59,-0.02712500000000001,close,False,3,2.5738438086807456,40.8145240449,0.09606404269512993,False,41,-0.003312920389519136
20231030,20231027,002388,新亚制程,-0.040843214756258184,7.28,7.43,7.0,7.17,0.0135,tp,True,1,3.719724400791615,33.511995369,0.11304347826086959,False,71,-0.0027072881389631487
20231030,20231027,605588,冠石科技,-0.03697334479793635,56.0,57.48,54.59,56.68,0.0135,tp,True,2,1.8342198995224985,34.4152733188,0.13469542186908812,False,71,-0.0027072881389631487
20231030,20231027,002791,坚朗五金,-0.02476343869538966,48.44,49.55,48.44,48.69,0.0135,tp,True,3,2.6949069339333196,31.7010312891,0.09102990033222591,False,71,-0.0027072881389631487
