code,name,open_pct,preclose,nmc_yi,yvolr
600683,京投发展,0.0879419764279239,11.03,77.1890256074,1.4897103322999643
603893,瑞芯微,0.07405313736574337,176.9,861.4103238,0.881761624737129
002918,蒙娜丽莎,0.06796116504854366,11.33,25.0834012844,1.9023313043407404
300583,赛托生物,0.06476484194294518,12.97,27.7920346518,0.9115664231959159
300611,美力科技,0.059485530546623755,24.88,39.329950296,1.273777102201955
300850,新强联,0.05645816409423232,24.62,84.21728719640001,0.8192699088715416
300901,中胤时尚,0.054481546572934914,17.07,48.336,0.9339443820925303
605188,国光连锁,0.05385190725504874,13.37,76.0604257,1.990357684628041
301262,海看股份,0.05212251477700147,18.61,26.24620928,0.9644479166059363
002270,华明装备,0.04944765912677518,19.01,175.21207176049998,0.8734003914492595
601058,赛轮轮胎,0.049339819318971356,14.39,509.655540145,2.067004606440971
300523,辰安科技,0.048362720403022585,19.85,49.8527028634,1.137893085738862
600722,金牛化工,0.04780615586116577,15.27,122.8657334856,1.0306751213806438
300450,先导智能,0.04724880382775143,33.44,511.64370485530003,0.8492904036624934
600754,锦江酒店,0.04675324675324677,19.25,174.2322733149,0.7343354351007517
601882,海天精工,0.04668674698795172,19.92,117.2412,1.115631710848991
002541,鸿路钢构,0.04451038575667665,20.22,105.19017462800001,1.5875635154881347
301151,冠龙节能,0.0410879629629628,17.28,36.3384487549,1.1255108707212205
002169,智光电气,0.04101722723543899,12.19,99.3766700902,0.8824937899102017
601155,新城控股,0.03919933277731458,11.99,266.3890592936,1.3140139687583186
301095,广立微,0.03650708745653919,74.78,133.58283879249998,1.1460184380339042
600295,鄂尔多斯,0.03275109170305668,13.74,270.2588315472,0.8173546274273137
000534,万泽股份,0.031034482758620863,23.2,116.0873169751,1.2661329950112294
603833,欧派家居,0.030487804878048808,32.8,194.9835879333,1.0849690691436835
603308,应流股份,0.03023414412366443,43.99,329.252132292,0.8159089784201148
600508,上海能源,0.02970297029702973,12.12,123.13669284000001,1.239652591225667
600246,万通发展,0.02970297029702973,12.12,239.51526070920002,0.9044987453158306
600031,三一重工,0.029319371727748678,19.1,1713.5216654814,0.9931882639295339
301510,固高科技,0.028808066258552367,27.77,109.44957312000001,1.2401786762666853
603353,和顺石油,0.028763769889840862,32.68,55.845978599999995,0.9725330875668491
603619,中曼石油,0.028642590286426017,24.09,111.14616602439999,0.769664046541808
605287,德才股份,0.0277777777777779,37.8,56.14,1.4104786903363957
002041,登海种业,0.026785714285714413,11.2,104.544,1.1409939483333544
002043,兔 宝 宝,0.026717557251908275,13.1,100.8438070572,0.8364013932439253
002791,坚朗五金,0.026212319790301475,15.26,31.7010312891,1.2299716515863461
300313,天山生物,0.026058631921824116,15.35,29.8792122546,0.8058079497099067
002757,南兴股份,0.025802391441158035,15.89,50.6166693526,1.3209122993618256
002855,捷荣技术,0.024590163934426146,14.64,43.606842787199994,1.529414924411075
300374,中铁装配,0.02452316076294281,11.01,27.6127110981,1.2091431844388005
002931,锋龙股份,0.023965141612200425,45.9,91.70609091659999,0.9517783456101205
001872,招商港口,0.022907488986784186,22.7,565.6635264735,0.7463727401923522
300578,会畅科技,0.022591362126245906,15.05,32.8444102555,0.8687879256699843
300760,迈瑞医疗,0.02251978088861839,164.3,2046.9875547660001,0.7561559446144458
301218,华是科技,0.021671826625387025,48.45,39.8741278321,0.8626239085841934
300970,华绿生物,0.020653218059558,20.82,26.9212387374,1.0252371696118678
603587,地素时尚,0.020275750202757514,12.33,61.2622811952,2.6884074839235312
301004,嘉益股份,0.02023121387283222,34.6,49.0939301625,0.875831873905429
000014,沙河股份,0.02008733624454151,11.45,26.504061528,1.391966565356082
