max_break,first_before,vol_lo,vol_hi,mv_lo,mv_hi,auction_lo,auction_hi,range_lo,market_fb_lo,market_fb_hi,idx_open_lo,exclude_y_one_word,rank,rank_asc,top_n,tp,sl,cost,train_n,train_days,train_per_day,train_win,train_avg,train_pf,test_n,test_days,test_per_day,test_win,test_avg,test_pf,full_n,full_win,score
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.015,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,959,392,2.4464285714285716,0.867570385818561,0.0031838754402228964,1.5390777266530282,543,222,2.445945945945946,0.9042357274401474,0.005645699165786566,2.46688173236579,1502,0.8808255659121171,4.499347881980797
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1068,414,2.579710144927536,0.8726591760299626,0.0034835482642642597,1.615939520792494,608,232,2.6206896551724137,0.90625,0.0054005687153462064,2.3123924295972453,1676,0.8848448687350835,4.4935337581191925
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,962,393,2.4478371501272265,0.867983367983368,0.003206690797477919,1.5446391667783526,549,224,2.450892857142857,0.9034608378870674,0.005578865893319887,2.427742694492687,1511,0.8808735936465917,4.490906511134247
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,961,392,2.451530612244898,0.8678459937565036,0.003199101505904014,1.5427853534032445,544,222,2.4504504504504503,0.9025735294117647,0.0055867773859276,2.4360992317145844,1505,0.8803986710963455,4.4896685279902275
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.015,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1038,407,2.5503685503685505,0.8689788053949904,0.0031525411387581643,1.5290927513121397,573,229,2.502183406113537,0.8970331588132635,0.005669438791745194,2.5120884980836444,1611,0.8789571694599627,4.488964186213548
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1071,415,2.580722891566265,0.873015873015873,0.003503202190694892,1.621154535527715,608,232,2.6206896551724137,0.9046052631578947,0.0053398651806792815,2.284087511276815,1679,0.8844550327575939,4.484712597047556
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1065,413,2.5786924939467313,0.8723004694835681,0.0034637836114875396,1.610724506057273,602,230,2.617391304347826,0.9053156146179402,0.005349743818821418,2.2872121127595264,1667,0.8842231553689263,4.4837629458065456
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1108,433,2.558891454965358,0.8736462093862816,0.003539277980639235,1.630757357703019,611,233,2.6223175965665235,0.9050736497545008,0.005299197589899097,2.260490516120811,1719,0.8848167539267016,4.4836045551729775
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,964,393,2.4529262086513994,0.8682572614107884,0.0032218221443711175,1.5483467935285686,550,224,2.455357142857143,0.9018181818181819,0.005520708411554777,2.398220262347887,1514,0.880449141347424,4.481485461268514
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1041,408,2.551470588235294,0.8693563880883766,0.0031737153717876793,1.5341858753060322,579,231,2.5064935064935066,0.8963730569948186,0.005605822376650275,2.4728541422127384,1620,0.8790123456790123,4.480748182756735
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,994,410,2.424390243902439,0.8682092555331992,0.0032212545306718326,1.5481897418544248,545,223,2.4439461883408073,0.9027522935779817,0.005501428934237632,2.3831477620381047,1539,0.8804418453541261,4.4804596378432935
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1090,415,2.6265060240963853,0.8697247706422019,0.003446977114891716,1.6088017077376733,609,235,2.5914893617021275,0.8998357963875205,0.005413870771876477,2.3419254266353735,1699,0.8805179517363155,4.477187971248366
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1138,422,2.6966824644549763,0.8769771528998243,0.003606239271992796,1.6467276453153739,635,236,2.690677966101695,0.8960629921259843,0.005311459773445689,2.296362794685277,1773,0.8838127467569092,4.4761490669644495
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1111,434,2.5599078341013826,0.873987398739874,0.003558073809674413,1.6358239790015803,611,233,2.6223175965665235,0.9034369885433715,0.005238792108593874,2.2334416471547134,1722,0.8844367015098722,4.474954729865846
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1068,414,2.579710144927536,0.8726591760299626,0.0034835482642642597,1.615939520792494,602,230,2.617391304347826,0.9036544850498339,0.00528843526553655,2.259170192971977,1670,0.8838323353293414,4.474927488343433
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1040,407,2.555282555282555,0.8682692307692308,0.003102251514420833,1.5169337854119391,574,229,2.506550218340611,0.8954703832752613,0.00561355518918555,2.4815854571804996,1614,0.8779429987608426,4.474387115958488
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1105,432,2.5578703703703702,0.8733031674208145,0.003520380092803867,1.6256907364044575,605,231,2.619047619047619,0.9041322314049587,0.005247619384179088,2.235964398405214,1710,0.8842105263157894,4.473957851610261
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,997,411,2.4257907542579074,0.8686058174523571,0.0032431564729065204,1.5535827370256465,551,225,2.448888888888889,0.9019963702359347,0.005436409251488245,2.347462715691032,1548,0.8804909560723514,4.472588053643962
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1074,425,2.5270588235294116,0.8696461824953445,0.0031949982852374466,1.5393869661338875,575,230,2.5,0.8956521739130435,0.005532613130099828,2.4289752693628834,1649,0.8787143723468769,4.471123728901566
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,996,410,2.4292682926829268,0.8684738955823293,0.0032358704854295196,1.5517850719685724,546,223,2.4484304932735426,0.9010989010989011,0.0054429872162674335,2.3544650507250995,1542,0.8800259403372244,4.471103445015224
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1128,432,2.611111111111111,0.8714539007092199,0.0035636934951862927,1.6404767227983752,612,236,2.593220338983051,0.8986928104575164,0.005294463108186568,2.2782965216907534,1740,0.8810344827586207,4.46987797850777
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1180,441,2.675736961451247,0.8779661016949153,0.0036660938541032586,1.6632362477167728,638,237,2.691983122362869,0.8949843260188087,0.005214797656169069,2.2468022876632716,1818,0.8839383938393839,4.467453048760494
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1087,414,2.6256038647342996,0.8693652253909844,0.003427511550351399,1.6036975801982323,603,233,2.587982832618026,0.8988391376451078,0.005363262520850373,2.316283907365643,1690,0.8798816568047337,4.467243455809197
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.015,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1135,421,2.695961995249406,0.8766519823788547,0.0035880178779980625,1.6417636063816088,629,234,2.6880341880341883,0.8950715421303657,0.005261966543939607,2.2721480727729544,1764,0.8832199546485261,4.4665801087181585
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1043,408,2.5563725490196076,0.8686481303930969,0.003123529793861617,1.5219808065849805,580,231,2.5108225108225106,0.8948275862068965,0.005550626563798309,2.443572298267462,1623,0.878003696857671,4.466419173605141
0,0,0.8,5.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1108,433,2.558891454965358,0.8736462093862816,0.0035392779806392356,1.630757357703019,605,231,2.619047619047619,0.9024793388429752,0.005186614840249351,2.2091651075117276,1713,0.8838295388207823,4.465291996517032
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1141,423,2.6973995271867612,0.8764241893076249,0.0035656478216428518,1.6354761283340638,636,236,2.694915254237288,0.8946540880503144,0.00526158680355428,2.273288687172877,1777,0.8829487900956668,4.463874001320244
0,0,0.8,5.0,25.0,100.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,999,411,2.4306569343065694,0.8688688688688688,0.003257684688175977,1.5571780671397941,552,225,2.453333333333333,0.9003623188405797,0.005378720558863283,2.3199042860005292,1551,0.8800773694390716,4.463469078411532
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1077,426,2.528169014084507,0.8700092850510678,0.0032153464794289857,1.5443384582383912,581,232,2.5043103448275863,0.8950086058519794,0.00547062870605493,2.3930945056580737,1658,0.8787696019300362,4.463456914203758
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1094,416,2.6298076923076925,0.8692870201096892,0.0034068294560716983,1.5979473677733016,609,235,2.5914893617021275,0.8981937602627258,0.005353266914606378,2.3127935384095717,1703,0.8796241926012919,4.463347347635509
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1125,431,2.6102088167053363,0.8711111111111111,0.0035451966778401226,1.635457869974076,606,234,2.58974358974359,0.8976897689768977,0.005242923138960692,2.2534423778177635,1731,0.8804159445407279,4.460067618094769
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1177,440,2.675,0.8776550552251486,0.003648675231811253,1.6584068472346982,632,235,2.6893617021276595,0.8939873417721519,0.005164621684550421,2.2231931567946557,1809,0.8833609729132117,4.458001850262756
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1076,425,2.531764705882353,0.8689591078066915,0.0031463122967580947,1.5274725314435127,576,230,2.5043478260869567,0.8940972222222222,0.005477161112378317,2.400500530108714,1652,0.8777239709443099,4.456999216336835
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1132,433,2.6143187066974596,0.8710247349823321,0.0035244811239227964,1.6294939389628917,612,236,2.593220338983051,0.8970588235294118,0.005234156328648185,2.250706023403821,1744,0.8801605504587156,4.456324395699601
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1144,435,2.6298850574712644,0.8767482517482518,0.0035700507120104263,1.635956200346232,632,236,2.6779661016949152,0.8987341772151899,0.005121350000419165,2.1867726801323935,1776,0.8845720720720721,4.455893702545574
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1183,442,2.676470588235294,0.8774302620456467,0.003626791733565966,1.6521455183055254,639,237,2.6962025316455698,0.8935837245696401,0.005165310102595267,2.224785247689024,1822,0.8830954994511526,4.45545701367748
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1138,422,2.6966824644549763,0.8760984182776801,0.0035473674556190634,1.6305558949370922,630,234,2.6923076923076925,0.8936507936507937,0.005211697154064319,2.2493172774663086,1768,0.8823529411764706,4.454303004045048
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1141,435,2.6229885057471263,0.8764241893076249,0.0035518299864504177,1.6310512191140631,632,236,2.6779661016949152,0.8987341772151899,0.005121350000419165,2.1867726801323935,1773,0.8843767625493514,4.454274168886202
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1091,415,2.6289156626506025,0.8689275893675527,0.0033873248624586975,1.592893710373873,603,233,2.587982832618026,0.8971807628524047,0.005302055640124849,2.287424687896853,1694,0.8789846517119244,4.453390592726702
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.0,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1103,416,2.6514423076923075,0.8766999093381687,0.0035577858394182705,1.6325392871934343,629,235,2.676595744680851,0.8982511923688394,0.005095696661788413,2.175222824427469,1732,0.8845265588914549,4.451344838076722
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1100,416,2.644230769230769,0.8763636363636363,0.0035388525280712294,1.627461871231618,629,235,2.676595744680851,0.8982511923688394,0.005095696661788413,2.175222824427469,1729,0.8843262001156738,4.449667927705196
0,0,0.7,8.0,25.0,100.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1079,426,2.532863849765258,0.8693234476367007,0.003166758138379713,1.5323804382001087,582,232,2.5086206896551726,0.8934707903780069,0.005415854861066019,2.3657127929114723,1661,0.8777844671884407,4.449560423665024
0,0,0.7,8.0,15.0,220.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1202,443,2.7133182844243793,0.8818635607321131,0.003841281047240324,1.7121690829376541,657,238,2.7605042016806722,0.8888888888888888,0.005003294664238342,2.1554849844525905,1859,0.8843464228079613,4.446883194907116
0,0,1.0,6.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1129,432,2.613425925925926,0.870682019486271,0.003505945644181228,1.624523892018434,606,234,2.58974358974359,0.8960396039603961,0.005182019262595196,2.2261081433666208,1735,0.8795389048991354,4.4464997492065175
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1141,434,2.629032258064516,0.8764241893076249,0.0035518299864504186,1.6310512191140631,626,234,2.675213675213675,0.8977635782747604,0.005069797444512639,2.1636729687225444,1767,0.8839841539332202,4.446468351971097
0,0,1.0,6.0,15.0,220.0,-0.08,-0.02,0.015,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1160,435,2.6666666666666665,0.8724137931034482,0.0034520897736263364,1.6070752337145535,631,237,2.6624472573839664,0.8954041204437401,0.005207048502062563,2.2413414555196773,1791,0.8805136795086543,4.446073007292068
0,0,0.7,8.0,20.0,160.0,-0.08,-0.02,0.0,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1180,441,2.675736961451247,0.8771186440677966,0.0036093174752614724,1.6473575892572068,633,235,2.6936170212765957,0.8925750394944708,0.005114744321577213,2.2014074692544634,1813,0.882515168229454,4.446002432005729
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.015,15,250,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1138,434,2.622119815668203,0.8760984182776801,0.0035335131937960697,1.626146237881894,626,234,2.675213675213675,0.8977635782747604,0.005069797444512639,2.1636729687225444,1764,0.8837868480725624,4.4448431920425815
0,0,1.0,6.0,15.0,220.0,-0.08,-0.02,0.0,15,250,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1163,435,2.6735632183908047,0.8718830610490111,0.0034082463517773162,1.5953523191306367,631,237,2.6624472573839664,0.8954041204437401,0.005207048502062563,2.2413414555196773,1794,0.8801560758082497,4.442549365912658
0,0,0.7,8.0,15.0,220.0,-0.08,-0.02,0.015,20,160,-1.0,True,auction_pct,True,3,0.012,0.0,0.0015,1159,424,2.733490566037736,0.8817946505608283,0.0038277131881978383,1.7080868123228443,654,237,2.759493670886076,0.8883792048929664,0.004978080419578885,2.144412287614649,1813,0.8841698841698842,4.44208541663666
0,0,0.8,5.0,15.0,220.0,-0.08,-0.02,0.0,20,160,-0.02,True,auction_pct,True,3,0.012,0.0,0.0015,1100,415,2.6506024096385543,0.8763636363636363,0.003538852528071229,1.627461871231618,623,233,2.6738197424892705,0.8972712680577849,0.005043648796572892,2.15212311301762,1723,0.8839233894370284,4.441813917128175
