code,date,open,close,high,low,volume,preclose,pct,is_zt,prev_zt,lbc,one_word,range_pct,zbc_proxy,fbt_proxy,lbc_em,zbc_em,fbt_em,hy_em,ltsz_em,zbc,fbt,hy,mv_yi_em,name,mv_yi,next_date,buy_open,sell_high,sell_low,sell_close,open_pct,zt_price,is_auction_zt,plate_n,plate_mode,score,rank_in_day,ret,exit,win
605066,20250303,8.52,8.52,8.52,8.37,294103.0,7.71,0.10505836575875471,True,True,3,False,0.019455252918287983,0,100000,,,,,,0,100000,,,天正电气,35.17031875,20250304,8.93,9.41,7.75,9.41,4.81220657276995,9.37,False,46,hy,65.0,1,0.006500000000000001,tp,True
600592,20250306,19.03,19.03,19.03,18.91,124545.0,17.28,0.10127314814814814,True,True,3,False,0.006944444444444501,0,100000,,,,,,0,100000,,,龙溪股份,59.7732142216,20250307,19.66,20.5,18.07,19.93,3.310562270099826,20.93,False,81,hy,65.0,1,0.006500000000000001,tp,True
000523,20250317,3.67,3.67,3.67,3.63,670451.0,3.34,0.0988023952095809,True,True,2,False,0.011976047904191628,0,100000,,,,,,0,100000,,,红棉股份,60.4853684198,20250318,3.87,3.87,3.58,3.61,5.449591280653965,4.04,False,49,hy,69.0,1,-0.06868346253229979,close,False
002146,20250326,1.61,1.61,1.61,1.6,1140827.0,1.46,0.10273972602739745,True,False,1,False,0.006849315068493157,0,100000,,,,,,0,100000,,,荣盛发展,46.928176212000004,20250327,1.67,1.73,1.58,1.59,3.7267080745341463,1.77,False,53,hy,67.0,1,0.006500000000000001,tp,True
605305,20250715,33.11,33.11,33.11,32.8,107185.0,30.03,0.10256410256410242,True,False,1,False,0.010323010323010398,0,100000,,,,,,0,100000,,,中际联合,66.284988,20250716,34.15,36.5,33.98,35.52,3.141045001510112,36.42,False,35,hy,67.0,1,0.006500000000000001,tp,True
601619,20250912,4.79,4.79,4.79,4.73,799477.0,4.35,0.10114942528735638,True,True,2,False,0.013793103448275773,0,100000,,,,,,0,100000,,,嘉泽新能,105.3831525344,20250915,4.94,5.01,4.56,4.58,3.131524008350728,5.27,False,53,hy,69.0,1,0.006500000000000001,tp,True
603906,20250916,17.07,17.07,17.07,16.85,249736.0,15.52,0.09987113402061865,True,False,1,False,0.01417525773195869,0,100000,,,,,,0,100000,,,龙蟠科技,105.28034606099999,20250917,18.0,18.78,17.12,17.56,5.448154657293491,18.78,False,59,hy,67.0,1,0.006500000000000001,tp,True
603556,20251028,30.978,31.128,31.128,30.798,93887.0,28.228,0.1027348731755704,True,False,1,False,0.011690520051013243,0,100000,,,,,,0,100000,,,海兴电力,122.53857083999999,20251029,32.088,34.318,31.758,34.318,3.084040092521212,34.24,False,47,hy,67.0,1,0.006500000000000001,tp,True
000993,20251106,13.93,13.94,13.94,13.88,262708.0,12.66,0.10110584518167443,True,True,3,False,0.004739336492890894,0,100000,,,,,,0,100000,,,闽东电力,49.1381911215,20251107,14.57,15.33,13.4,13.72,4.519368723098993,15.33,False,55,hy,65.0,1,0.006500000000000001,tp,True
002451,20251107,10.36,10.36,10.36,10.22,703824.0,9.42,0.0997876857749469,True,True,4,False,0.01486199575371537,0,100000,,,,,,0,100000,,,摩恩电气,34.0340475,20251110,10.63,11.4,10.55,11.4,2.6061776061776287,11.4,False,41,hy,60.0,1,0.006500000000000001,tp,True
603906,20251126,19.87,19.87,19.87,19.75,249264.0,18.06,0.10022148394241426,True,True,2,False,0.006644518272425305,0,100000,,,,,,0,100000,,,龙蟠科技,105.28034606099999,20251127,20.66,21.55,19.29,20.22,3.9758429793658845,21.86,False,53,hy,69.0,1,0.006500000000000001,tp,True
000888,20251201,13.93,13.93,13.93,13.78,500945.0,12.64,0.10205696202531644,True,False,1,False,0.011867088607594964,0,100000,,,,,,0,100000,,,峨眉山Ａ,54.272049506,20251202,14.3,15.27,13.86,14.23,2.6561378320172357,15.32,False,44,hy,67.0,1,0.006500000000000001,tp,True
603327,20251202,11.98,11.98,11.98,11.81,616854.0,10.88,0.10110294117647056,True,True,2,False,0.015624999999999993,0,100000,,,,,,0,100000,,,福蓉科技,96.077715184,20251203,12.33,13.19,12.33,13.19,2.921535893155247,13.18,False,38,hy,69.0,1,0.006500000000000001,tp,True
603906,20251203,23.41,23.41,23.41,23.0,489352.0,21.28,0.10009398496240607,True,False,1,False,0.01926691729323309,0,100000,,,,,,0,100000,,,龙蟠科技,105.28034606099999,20251204,24.0,24.0,21.88,22.0,2.5202904741563392,25.75,False,43,hy,67.0,1,-0.08483333333333337,close,False
603278,20251209,11.76,11.76,11.76,11.57,403490.0,10.69,0.10009354536950421,True,True,2,False,0.017773620205799767,0,100000,,,,,,0,100000,,,大业股份,31.476040003199998,20251210,12.36,12.48,10.86,10.91,5.102040816326525,12.94,False,42,hy,69.0,1,0.006500000000000001,tp,True
603601,20251211,7.65,7.65,7.65,7.58,884568.0,6.95,0.1007194244604317,True,True,4,False,0.010071942446043206,0,100000,,,,,,0,100000,,,再升科技,103.6103260697,20251212,7.99,8.42,7.84,8.42,4.444444444444451,8.42,False,27,hy,60.0,1,0.006500000000000001,tp,True
000536,20251215,5.52,5.52,5.52,5.47,1661968.0,5.02,0.09960159362549792,True,False,1,False,0.009960159362549766,0,100000,,,,,,0,100000,,,华映科技,99.470970576,20251216,5.7,5.85,5.41,5.41,3.260869565217406,6.07,False,55,hy,67.0,1,0.006500000000000001,tp,True
002766,20251216,5.25,5.28,5.28,5.25,242031.0,4.8,0.10000000000000009,True,False,1,False,0.006250000000000052,0,100000,,,,,,0,100000,,,索菱股份,37.0733677488,20251217,5.5,5.81,5.35,5.46,4.166666666666652,5.81,False,37,hy,67.0,1,0.006500000000000001,tp,True
002103,20251218,9.75,9.86,9.86,9.75,218781.0,8.96,0.10044642857142838,True,False,1,False,0.01227678571428565,0,100000,,,,,,0,100000,,,广博股份,26.626101336799998,20251219,10.35,10.65,10.01,10.08,4.9695740365111485,10.85,False,48,hy,67.0,1,0.006500000000000001,tp,True
002413,20251230,11.41,11.41,11.41,11.23,2137970.0,10.37,0.10028929604628756,True,True,2,False,0.01735776277724202,0,100000,,,,,,0,100000,,,雷科防务,105.1889563564,20251231,12.01,12.55,11.96,12.55,5.258545135845738,12.55,False,45,hy,69.0,1,0.006500000000000001,tp,True
001255,20260113,40.83,41.44,41.44,40.79,45144.0,37.67,0.1000796389700025,True,True,2,False,0.017255110167241797,0,100000,,,,,,0,100000,,,博菲电气,20.9094927072,20260114,43.39,45.59,42.97,45.59,4.705598455598459,45.58,False,49,hy,69.0,1,0.006500000000000001,tp,True
601163,20260116,15.13,15.13,15.13,14.94,302399.0,13.72,0.10276967930029146,True,False,1,False,0.013848396501457819,0,100000,,,,,,0,100000,,,三角轮胎,99.52,20260119,15.74,16.68,15.66,15.96,4.031725049570389,16.64,False,45,hy,67.0,1,0.006500000000000001,tp,True
000880,20260122,36.654,36.654,36.654,35.994,258776.0,33.314,0.10025814972684177,True,True,2,False,0.01981149066458557,0,100000,,,,,,0,100000,,,潍柴重机,55.16751239999999,20260123,37.884,38.484,35.684,38.134,3.3557046979865612,40.32,False,61,hy,69.0,1,0.006500000000000001,tp,True
600266,20260203,5.95,5.95,5.95,5.88,547740.0,5.4,0.10185185185185186,True,False,1,False,0.012962962962963015,0,100000,,,,,,0,100000,,,城建发展,89.256970801,20260204,6.13,6.2,5.72,5.97,3.0252100840336027,6.55,False,57,hy,67.0,1,0.006500000000000001,tp,True
603123,20260403,11.96,11.96,11.96,11.75,584635.0,10.87,0.10027598896044165,True,False,1,False,0.019319227230910844,0,100000,,,,,,0,100000,,,翠微股份,72.92445109820001,20260407,12.3,13.16,12.3,13.16,2.842809364548504,13.16,False,22,hy,67.0,1,0.006500000000000001,tp,True
605189,20260409,15.917,15.917,15.917,15.797,88756.0,14.457,0.10098914020889538,True,False,1,False,0.008300477277443399,0,100000,,,,,,0,100000,,,富春染织,32.9717155576,20260410,16.387,17.357,16.157,16.707,2.9528177420368174,17.51,False,46,hy,67.0,1,0.006500000000000001,tp,True
002354,20260429,5.9,5.95,5.95,5.9,525234.0,5.41,0.09981515711645095,True,False,1,False,0.009242144177449136,0,100000,,,,,,0,100000,,,天娱数科,137.4809743255,20260430,6.16,6.43,6.06,6.2,3.529411764705892,6.55,False,89,hy,67.0,1,0.006500000000000001,tp,True
603030,20260430,2.62,2.65,2.65,2.62,431286.0,2.41,0.09958506224066377,True,False,1,False,0.012448132780082905,0,100000,,,,,,0,100000,,,全筑股份,27.918990624,20260506,2.77,2.88,2.7,2.81,4.528301886792452,2.92,False,67,hy,67.0,1,0.006500000000000001,tp,True
002568,20260626,15.66,15.73,15.73,15.66,125306.0,14.3,0.09999999999999987,True,False,1,False,0.004895104895104915,0,100000,,,,,,0,100000,,,百润股份,137.86543325789998,20260629,16.51,17.3,15.48,17.3,4.958677685950419,17.3,False,45,hy,67.0,1,0.006500000000000001,tp,True
