buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20241220,0.3195000000000002,1,600579,中化装备,二进三,20241224,0.7049345417925457,52.0,True
20250114,0.014013126491646601,1,603166,福达股份,二进三,20250116,0.11947431302272715,70.0,True
20250210,0.17350000000000004,1,002036,联创电子,二进三,20250212,0.26857654431511335,70.0,True
20250304,0.033138554216867455,1,601789,宁波建工,二进三,20250306,0.7587253414264028,78.0,True
20250311,0.18376785714285698,1,002196,方正电机,二进三,20250313,1.7026106696935273,66.0,True
20250319,0.1919032983508247,1,600610,中毅达,二进三,20250321,1.522070015220689,68.0,True
20250519,0.3274124668435013,1,605136,丽人丽妆,二进三,20250521,0.21265284423179764,70.0,True
20250616,0.16492547033285093,1,002235,安妮股份,二进三,20250618,0.14492753623187582,70.0,True
20250625,0.01831132075471703,1,002537,海联金汇,二进三,20250627,1.7274472168905985,64.0,True
20250702,0.03064596003475245,1,002549,凯美特气,二进三,20250704,2.039007092198575,46.0,True
20250901,0.08157692307692305,1,002256,兆新股份,二进三,20250903,0.9316770186335255,78.0,True
20251202,0.20474303232998886,1,002565,顺灏股份,二进三,20251204,1.5855039637599155,72.0,True
20251209,-0.1960859677122337,1,002679,福建金森,二进三,20251211,1.6218576508015836,74.0,False
20251216,-0.16150000000000003,1,601700,风范股份,二进三,20251218,1.4610389610389518,78.0,False
20251226,0.07343781587160764,1,605598,上海港湾,二进三,20251230,2.1029133437939773,36.0,True
20260206,-0.05555405405405395,1,601015,陕西黑猫,二进三,20260210,1.9685039370078705,78.0,False
20260421,-0.0580217391304349,1,002418,康盛股份,二进三,20260423,1.3215859030837107,78.0,False
20260506,0.05462682090831189,1,002805,丰元股份,二进三,20260508,2.144420131291014,40.0,True
20260512,0.08388587848932688,1,600545,卓郎智能,二进三,20260514,0.4950495049504955,58.0,True
20260526,0.12984328358208935,1,002585,双星新材,二进三,20260528,1.9269776876267963,68.0,True
20260709,-0.12708139534883728,1,600094,大名城,二进三,20260713,1.8957345971563955,64.0,False
20260723,-0.021499999999999908,1,002197,证通电子,二进三,20260727,0.43041606886657924,74.0,False
20260825,0.07920500927643787,1,600785,新华百货,二进三,20260827,0.6535947712418055,74.0,True
20260831,0.21240611160318884,1,603269,海鸥股份,二进三,20260902,1.8034265103696878,70.0,True
