max_break,first_before,vol_lo,vol_hi,mv_lo,mv_hi,auction_lo,auction_hi,range_lo,market_fb_lo,market_fb_hi,idx_open_lo,exclude_y_one_word,rank,rank_asc,top_n,tp,sl,cost,train_n,train_days,train_per_day,train_win,train_avg,train_pf,test_n,test_days,test_per_day,test_win,test_avg,test_pf,full_n,full_win
0,0,0.8,6.0,15.0,220.0,-0.03,0.02,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2288,462,4.9523809523809526,0.44493006993006995,-0.0013845264084488382,0.9359538204456878,1215,243,5.0,0.48641975308641977,0.0010066399335156117,1.0543264147229923,3503,0.4593205823579789
0,0,0.8,6.0,15.0,220.0,-0.03,0.02,0.02,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2191,442,4.957013574660634,0.44317663167503424,-0.0015811416301022897,0.9275109496266871,1215,243,5.0,0.48641975308641977,0.0010066399335156117,1.0543264147229923,3406,0.458602466236054
0,0,0.8,6.0,15.0,220.0,-0.04,0.04,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2304,462,4.987012987012987,0.4457465277777778,-0.0012852911198161985,0.9407106398577156,1215,243,5.0,0.48559670781893005,0.0009618548887305671,1.0518875911132655,3519,0.4595055413469736
0,0,0.8,6.0,15.0,220.0,-0.04,0.04,0.02,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2205,442,4.98868778280543,0.4435374149659864,-0.0015393925263273759,0.929740584025701,1215,243,5.0,0.48559670781893005,0.0009618548887305671,1.0518875911132655,3420,0.4584795321637427
0,0,1.0,5.0,15.0,220.0,-0.03,0.02,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2269,462,4.911255411255412,0.4345526663728515,-0.002130245528615306,0.9024072354964728,1215,243,5.0,0.48559670781893005,0.0010820166054657937,1.0595704113628595,3484,0.452353616532721
0,0,1.0,5.0,15.0,220.0,-0.03,0.02,0.02,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2180,442,4.932126696832579,0.4325688073394495,-0.0023411835941154605,0.8937152947060497,1215,243,5.0,0.48559670781893005,0.0010820166054657937,1.0595704113628595,3395,0.4515463917525773
0,0,0.8,6.0,15.0,220.0,-0.02,0.03,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2295,461,4.978308026030369,0.44618736383442265,-0.0012858223242286947,0.940628549218922,1214,243,4.995884773662551,0.48517298187808894,0.0008579755034894646,1.0462456884817186,3509,0.4596751211171274
0,0,0.8,6.0,15.0,220.0,-0.02,0.03,0.02,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2198,441,4.984126984126984,0.44358507734303915,-0.0015674962879556724,0.9284271099423049,1214,243,4.995884773662551,0.48517298187808894,0.0008579755034894646,1.0462456884817186,3412,0.45838218053927315
0,0,0.8,6.0,15.0,220.0,-0.06,0.01,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2277,462,4.928571428571429,0.443126921387791,-0.0011802278888757743,0.9456955883699463,1214,243,4.995884773662551,0.48517298187808894,0.0008043342588423952,1.0430305770862993,3491,0.4577484961329132
0,0,0.8,6.0,15.0,220.0,-0.06,0.01,0.02,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2186,442,4.9457013574660635,0.44281793229643185,-0.0012605376693093475,0.9424168686095056,1214,243,4.995884773662551,0.48517298187808894,0.0008043342588423952,1.0430305770862993,3400,0.45794117647058824
0,0,0.8,6.0,15.0,220.0,-0.03,0.02,0.0,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2290,462,4.956709956709957,0.448471615720524,-0.0010299571781940064,0.9519357188400676,1215,243,5.0,0.48477366255144033,0.0004957735717123834,1.0263023446199009,3505,0.46105563480741796
0,0,0.8,6.0,15.0,220.0,-0.03,0.02,0.0,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2193,442,4.961538461538462,0.4468764249886001,-0.0012107099074726172,0.9439868121627752,1215,243,5.0,0.48477366255144033,0.0004957735717123834,1.0263023446199009,3408,0.460387323943662
0,0,1.0,5.0,15.0,220.0,-0.03,0.02,0.0,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2270,462,4.913419913419913,0.4370044052863436,-0.001920474087869591,0.9117862787179849,1215,243,5.0,0.48477366255144033,0.0007743415877277832,1.042217961964773,3485,0.45365853658536587
0,0,1.0,5.0,15.0,220.0,-0.04,0.04,0.02,15,250,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2300,462,4.978354978354979,0.4356521739130435,-0.002023322577030889,0.9077749899855057,1215,243,5.0,0.48477366255144033,0.0010372315606807486,1.0570802379909279,3515,0.45263157894736844
0,0,1.0,5.0,15.0,220.0,-0.03,0.02,0.0,20,180,-1.0,True,abs_auction,True,5,0.0,0.0,0.0015,2181,442,4.9343891402714934,0.4351215038972948,-0.0021227553004161143,0.9033698648625147,1215,243,5.0,0.48477366255144033,0.0007743415877277832,1.042217961964773,3396,0.45288574793875147
