buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20241219,-0.07741211037301987,2,"600283,600052","钱江水利,东望时代",首板,20241223,-0.14947546034773662,36.0,False
20241224,-0.02187252619324792,1,000788,北大医药,首板,20241226,-0.29019152640743506,36.0,False
20241227,-0.004611637524341128,2,"000665,601789","湖北广电,宁波建工",首板,20241231,-0.22831050228310223,45.0,False
20250102,-0.05529513633013999,1,002449,国星光电,首板,20250106,0.0,42.0,False
20250108,-0.027483271947536303,2,"002177,603637","御银股份,镇海股份","一进二,首板",20250110,0.5527057375902311,63.0,False
20250114,0.013348761827383595,2,"603166,000905","福达股份,厦门港务","二进三,首板",20250116,-0.011084373233677391,59.0,True
20250117,-0.0018825554705433332,1,603200,上海洗霸,一进二,20250121,1.593470656820828,74.0,False
20250122,-0.03696099290780147,1,600558,大西洋,一进二,20250124,0.23696682464455776,70.0,False
20250205,0.021465879265091747,1,600300,维维股份,一进二,20250207,-0.3270111183780178,64.0,True
20250210,0.10617291066282414,2,"002036,002520","联创电子,日发精机",二进三,20250212,0.13428827215755668,70.0,True
20250213,0.08142682926829253,1,000042,中洲控股,首板,20250217,0.32626427406199365,50.0,True
20250218,-0.012917220077727332,2,"000691,000595","亚太实业,新能股份",首板,20250220,0.7615230460921829,46.0,False
20250221,0.012110888710968716,1,603758,秦安股份,首板,20250225,1.1336032388663986,50.0,True
20250226,-0.08978291274933509,2,"603150,600130","万朗磁塑,波导股份",首板,20250228,-0.09937967324951669,45.0,False
20250303,-0.035650131423717424,2,"603690,603579","至纯科技,荣泰健康","一进二,首板",20250305,0.48187005411803874,60.0,False
20250306,0.015854151603622968,2,"002418,001380","康盛股份,华纬科技","一进二,首板",20250310,0.8093397277527559,63.0,True
20250311,0.07107023430391257,2,"002196,000818","方正电机,航锦科技","二进三,首板",20250313,0.9630193469757131,60.0,True
20250314,0.08920623864324656,2,"000813,002553","德展健康,南方精工","一进二,首板",20250318,0.6341433095181981,52.0,True
20250319,0.04132233883058478,2,"600610,002358","中毅达,森源电气","二进三,首板",20250321,1.1228295083339335,59.0,True
20250325,-0.020505116539975776,2,"605080,605068","浙江自然,明新旭腾",首板,20250327,0.27897461331019,46.0,False
20250328,8.090712326253025e-05,2,"002345,001299","潮宏基,美能能源","一进二,首板",20250401,0.4729729729729737,60.0,True
20250402,-0.13119634585692225,1,000096,广聚能源,首板,20250407,-0.10282776349613831,36.0,False
20250408,0.09832332155477014,1,603221,爱丽家居,二进三,20250410,0.0,58.0,True
20250411,-0.030995842173474508,2,"605080,603277","浙江自然,银都股份",一进二,20250415,0.4355211009973492,69.0,False
20250416,-0.03354215323269727,2,"002793,603687","罗欣药业,大胜达",一进二,20250418,-0.07110352673492248,53.0,False
20250422,0.0019721798359448317,2,"000880,002849","潍柴重机,威星智能",首板,20250424,-0.049665642404861376,45.0,True
20250425,0.0443652272023361,2,"002196,000042","方正电机,中洲控股","二进三,首板",20250429,0.0,53.0,True
20250430,0.038577121860615404,2,"002009,603611","天奇股份,诺力股份","一进二,首板",20250507,0.7752913852320908,49.0,True
20250508,0.011800064720925485,2,"000965,603416","天保基建,信捷电气","一进二,首板",20250512,-0.15253041265682055,45.0,True
20250513,0.04200000000000009,1,002095,生 意 宝,首板,20250515,0.0,42.0,True
20250519,0.28364588859416445,2,"605136,002345","丽人丽妆,潮宏基","二进三,首板",20250521,0.4317060316603616,66.0,True
20250522,-0.016830188679245406,1,603106,恒银科技,首板,20250526,-0.11778563015312216,36.0,False
20250527,0.03433519637171928,2,"002161,002298","远 望 谷,中电鑫龙","一进二,首板",20250529,0.9899615514025406,70.0,True
20250530,0.14109927797833938,2,"603669,000566","灵康药业,海南海药",首板,20250604,0.016222316264635772,55.0,True
20250605,0.21129129103589045,1,603657,春光科技,首板,20250609,-0.381259001948675,48.0,True
20250610,-0.02983845621804654,2,"603681,603967","永冠新材,中创物流",首板,20250612,-0.015028624046270478,45.0,False
20250616,0.09557412130503934,2,"002235,002383","安妮股份,合众思壮","二进三,首板",20250618,0.17167011732228676,56.0,True
20250619,0.018731396598596517,1,002104,恒宝股份,首板,20250623,1.7366694539139305,50.0,True
20250624,-0.04888513591918753,2,"002449,000525","国星光电,红太阳",首板,20250626,1.1254551473022123,50.0,False
20250627,0.01322695824067216,2,"002383,600844","合众思壮,金煤科技",首板,20250701,0.09250693802035359,42.0,True
20250707,0.11082300038270182,2,"002721,600551","金一文化,时代出版","二进三,首板",20250709,-0.17162471395880674,53.0,True
20250711,0.02711685214626397,1,002121,科陆电子,二进三,20250715,0.4792332268370725,78.0,True
20250718,-0.020443710267461168,2,"600620,603759","天宸股份,海天股份","二进三,首板",20250722,0.9451938403577054,56.0,False
20250723,-0.076483839689722,1,603590,康辰药业,首板,20250725,0.4056466006814752,50.0,False
20250728,-0.023695644542499783,2,"603090,603139","宏盛股份,康惠股份",首板,20250730,0.9614382490880646,50.0,False
20250731,0.000709395454168872,1,601595,上海电影,首板,20250804,0.7512729903447646,50.0,True
20250806,0.06298318322399449,2,"600203,600351","福日电子,亚宝药业","二进三,首板",20250808,0.46511627906976605,52.0,True
20250811,-0.0007450218256248569,2,"000501,000803","武商集团,山高环能","一进二,首板",20250813,0.18014706756971366,54.0,False
20250815,0.0626003000160959,2,"002161,002826","远 望 谷,易明医药",首板,20250819,0.8623510457924422,62.0,True
20250820,-0.052253768844221005,1,600557,康缘药业,一进二,20250822,0.35300050428643814,68.0,False
20250825,-0.034800251375949165,2,"603507,002213","振江股份,大为股份",首板,20250827,0.6136572468585788,50.0,False
20250828,-0.05495751120250125,2,"603903,603767","中持股份,中马传动",首板,20250901,0.034982919673598456,39.0,False
20250902,-0.03521424167163656,2,"002345,603508","潮宏基,思维列控",首板,20250904,0.45284266229838055,43.0,False
20250905,0.037743817942897995,2,"002403,603608","爱仕达,天创时尚","一进二,首板",20250909,0.8560665897077602,64.0,True
20250910,0.007614790018259265,2,"603098,603222","森特股份,济民健康",首板,20250912,0.07619460956662105,49.0,True
