code,name,nmc
600307,酒钢宏兴,926976.898752
600308,华泰股份,496016.547552
600309,万华化学,24311242.647516
600310,广西能源,656638.403456
600312,平高电气,2765405.627742
600313,农发种业,791087.222653
600315,上海家化,1251684.77476
600316,洪都航空,2322733.904368
600318,新力金融,376342.081888
600319,亚星化学,252786.518368
600320,振华重工,1367115.036287
600322,津投城开,302961.8
600323,瀚蓝环境,2445226.090854
600325,华发股份,723816.006508
600326,西藏天路,1028660.639365
600327,大东方,349487.90961
600328,中盐化工,936971.791587
600329,达仁堂,2039253.324176
600330,天通股份,3238998.776416
600331,宏达股份,2570480.0
600332,白云山,2845523.280776
600333,长春燃气,415358.926488
600335,国机汽车,770502.670056
600336,澳柯玛,528285.777078
600338,西藏珠峰,1232355.306464
600339,中油工程,1875937.550256
600343,航天动力,1164088.378752
600345,长江通信,985654.764723
600346,恒力石化,13388367.792972
600348,华阳股份,3207067.5
600350,山东高速,4916758.529025
600351,亚宝药业,460872.030636
600352,浙江龙盛,4073171.48872
600353,旭光电子,2590034.871875
600354,敦煌种业,457076.60128
600356,恒丰纸业,264377.26953
600358,国旅联合,265091.7465
600359,新农开发,284608.56372
600360,华微电子,927645.263664
600361,创新新材,1354956.637419
600362,江西铜业,9517084.59933
600363,联创光电,735399.06195
600366,宁波韵升,1236421.182375
600367,红星发展,1132701.654276
600368,五洲交通,698589.774372
600369,西南证券,2737784.959088
600371,万向德农,400831.86
600372,中航机载,5540536.64135
600373,中文传媒,999740.169498
600375,汉马科技,560208.64608
600376,首开股份,858995.225586
600377,宁沪高速,4722311.287242
600378,昊华科技,4906986.535725
600379,宝光股份,473178.841212
600380,健康元,1675779.301576
600382,广东明珠,425296.031376
600383,金地集团,1078985.473708
600386,北巴传媒,287078.4
600388,紫金龙净,2414358.002993
600389,江山股份,805746.15
600390,五矿资本,2262526.925877
600391,航发科技,1251520.430297
600392,盛和资源,3808892.13661
600395,盘江股份,1150590.943184
600396,华电辽能,2008772.098388
600397,江钨装备,1661152.681996
600398,海澜之家,2833634.47464
600399,抚顺特钢,883500.8
600400,红豆股份,655332.349672
600403,大有能源,1561200.498506
600405,动力源,309478.94194
600406,国电南瑞,18186568.063902
600408,安泰集团,307074.0
600409,三友化工,1480138.554216
600410,华胜天成,1592110.279716
600415,小商品城,7194429.704512
600416,湘电股份,1276551.76216
600418,江淮汽车,4648115.43809
600419,天润乳业,287749.949952
600420,国药现代,1138655.615508
600422,昆药集团,642672.417693
600425,青松建化,596949.779004
600426,华鲁恒升,5727373.084079
600428,中远海特,2851202.989778
600429,三元股份,703851.99022
600433,冠豪高新,588093.822288
600435,北方导航,1752822.631091
600436,片仔癀,7466050.47375
600438,通威股份,5127767.68066
600444,国机通用,208797.675032
600446,金证股份,1052337.041522
600448,华纺股份,190835.357586
600449,宁夏建材,601073.569794
600452,涪陵电力,1390570.19687
600455,博通股份,154833.382
600456,宝钛股份,1278054.916825
600458,时代新材,1000413.536265
600459,贵研铂业,1523970.753548
600460,士兰微,5048793.97773
600461,洪城环境,1145467.876304
600463,空港股份,252900.0
600467,好当家,357943.60448
600468,百利电气,685273.25223
600469,风神股份,440890.619032
600470,六国化工,315568.0
600475,华光环能,1403956.850481
600477,杭萧钢构,585024.172128
600478,科力远,806305.404016
600479,千金药业,550336.858855
600480,凌云股份,998451.371866
600481,双良节能,869028.742669
600482,中国动力,7480676.521664
600483,福能股份,3091523.029208
600486,扬农化工,2257369.285668
600487,亨通光电,15266587.011054
600488,津药药业,562321.6402
600489,中金黄金,12409120.16384
600490,鹏欣资源,1538303.709992
600493,凤竹纺织,173536.0
600495,晋西车轴,502607.408576
600496,精工钢构,664701.950066
600497,驰宏锌锗,4959734.395272
600498,烽火通信,4806729.10368
600499,科达制造,2798152.474469
600500,中化国际,1934097.097317
600501,航天晨光,644731.0694
600502,安徽建工,765574.136348
600503,华丽家族,354106.09
600505,西昌电力,386441.55
600506,统一股份,460807.037444
600507,方大特钢,985418.04114
600508,上海能源,1135245.4344
