code,name,height,start,end,days_in_window,industry,region,market,peak_price,peak_float_mv_yi,cap_bucket,price_bucket,avg_turnover,yiziban_days,list_date,list_age_years,is_subnew,is_st,concepts
002297,博云新材,6,20260413,20260420,1,国防军工,湖南板块,深市主板,19.46,111.5261977774,100-200亿,10-20元,,3,2009-09-29,16.908966461327857,False,False,商业航天、大飞机、军民融合、无人机、小金属概念、央国企改革、通用航空、新材料
003040,楚天龙,5,20260821,20260827,5,通信,广东板块,深市主板,18.73,85.56805332,50-100亿,10-20元,,0,2021-03-22,5.431895961670089,False,False,智慧政务、数字货币、ETC、华为概念、量子科技、通信设备、百日新高、近期新高
002412,汉森制药,5,20260819,20260825,5,医药生物,湖南板块,深市主板,12.33,61.3842885,50-100亿,10-20元,,2,2010-05-25,16.257357973990416,False,False,中药概念、参股银行、2026中报预增、百日新高、近期新高、病原体防治、昨日高换手、中药Ⅲ
300862,蓝盾光电,5,20260810,20260814,5,机械设备,安徽板块,创业板,47.29,71.6306392103,50-100亿,20-50元,,4,2020-08-24,6.006844626967831,False,False,华为概念、创业板综、PPP模式、智慧城市、通用设备、节能环保、仪器仪表、昨日高换手
603758,秦安股份,5,20260807,20260813,5,汽车,重庆板块,沪市主板,15.35,66.48331351785421,50-100亿,10-20元,,3,2017-05-17,9.27857631759069,False,False,新能源车、西部大开发、成渝特区、汽车零部件、重庆板块、消费电子概念、底盘与发动机系统、汽车
600272,开开实业,5,20260806,20260812,5,医药生物,上海板块,沪市主板,17.27,27.9832,20-50亿,10-20元,,1,2001-02-28,25.492128678986994,False,False,央国企改革、沪企改革、医疗器械概念、电商概念、中药概念、长江三角、参股银行、AB股
002552,宝鼎科技,5,20260804,20260810,5,电子,浙江板块,深市主板,52.36,192.9483221204,100-200亿,>50元,,0,2011-02-25,15.501711156741958,False,False,PCB、一带一路、央国企改革、黄金概念、元件、2026中报预增、浙江板块、2026一季报预增
002963,豪尔赛,5,20260731,20260806,5,建筑装饰,北京板块,深市主板,19.35,28.897355206226507,20-50亿,10-20元,,0,2019-10-28,6.830937713894593,False,False,换电概念、国产芯片、装修装饰Ⅱ、智慧城市、昨日高换手、北京板块、装修装饰Ⅲ
002827,高争民爆,5,20260729,20260804,5,基础化工,西藏板块,深市主板,41.87,115.5607289625,100-200亿,20-50元,,2,2016-12-09,9.713894592744696,False,False,央国企改革、西部大开发、化学制品、2026中报预减、西藏板块、民爆制品、基础化工、雅下水电概念
605179,一鸣食品,5,20260728,20260803,5,食品饮料,浙江板块,沪市主板,21.31,85.4531,50-100亿,20-50元,,1,2020-12-28,5.661875427789186,False,False,社区团购、代糖概念、乳业、冷链物流、乡村振兴、新零售、电商概念、食品安全
002879,长缆科技,5,20260721,20260727,5,电力设备,湖南板块,深市主板,19.86,27.2358095706,20-50亿,10-20元,,0,2017-07-07,9.138945927446954,False,False,商业航天、特高压、风能、智能电网、核能核电、电网设备、电网概念、湖南板块
600664,哈药股份,5,20260710,20260716,5,医药生物,黑龙江,沪市主板,4.94,124.4143878744,100-200亿,<5元,,0,1993-06-29,33.16084873374401,False,False,流感、冷链物流、东北振兴、养老概念、中药概念、化学制药、2026中报预增、医药医疗风格
600491,ST龙元,5,20260701,20260714,5,建筑装饰,浙江板块,ST/沪市主板,1.35,24.93505467,20-50亿,<5元,,3,2004-05-24,22.258726899383984,False,True,装配建筑、PPP模式、水利建设、长江三角、工程建设、2026中报首亏、浙江板块、超跌股
600793,宜宾纸业,5,20260701,20260707,5,轻工制造,四川板块,沪市主板,19.37,34.26630518633425,20-50亿,10-20元,,1,1997-02-20,29.51403148528405,False,False,央国企改革、西部大开发、成渝特区、化工原料、造纸印刷、2026中报首亏、四川板块、特种纸
603789,ST星农,5,20260623,20260706,5,机械设备,浙江板块,ST/沪市主板,6.99,18.174,<20亿,5-10元,,4,2015-04-27,11.3347022587269,False,True,专用设备、农业种植、乡村振兴、智能驾驶、生态农业、浙江板块、农用机械、机械设备
002977,*ST天箭,5,20260630,20260706,5,国防军工,四川板块,ST/深市主板,25.84,17.236992672222755,<20亿,20-50元,,2,2020-03-17,6.444900752908967,False,True,商业航天、第三代半导体、氮化镓、西部大开发、军工、四川板块、军工电子Ⅲ、军工电子Ⅱ
000909,*ST数源,5,20260630,20260706,5,房地产,浙江板块,ST/深市主板,4.61,20.178457273699284,20-50亿,<5元,,0,1999-05-07,27.307323750855577,False,True,REITs概念、换电概念、车联网(车路云)、ETC、超清视频、智能驾驶、人工智能、5G概念
600180,*ST瑞茂,5,20260626,20260702,5,交通运输,山东板块,ST/沪市主板,1.38,14.995459003199999,<20亿,<5元,,4,1998-07-03,28.150581793292265,False,True,一带一路、电商概念、互联网金融、参股银行、物流、2026中报首亏、超跌股
600397,江钨装备,5,20260616,20260623,5,机械设备,江西板块,沪市主板,24.44,241.94619516080002,>200亿,20-50元,,0,2002-07-02,24.1533196440794,False,False,专用设备、央国企改革、2026中报扭亏、高市净率、小盘股、昨日首板、江西板块、能源及重型设备
600353,旭光电子,5,20260615,20260622,5,电子,四川板块,沪市主板,46.21,382.9936365719146,>200亿,20-50元,,2,2002-11-20,23.76728268309377,False,False,第三代半导体、国产芯片、光刻机、华为概念、军民融合、5G概念、无人机、参股新三板
600537,*ST亿晶,5,20260611,20260617,5,电力设备,浙江板块,ST/沪市主板,2.99,35.393079039861114,20-50亿,<5元,,4,2003-01-23,23.592060232717316,False,True,长江三角、光伏概念、浙江板块、股权分散、光伏电池组件、电力设备、TOPCon电池、低价股
002717,*ST岭南,5,20260602,20260608,5,建筑装饰,广东板块,ST/深市主板,1.17,20.1070814022,20-50亿,<5元,,2,2014-02-19,12.517453798767967,False,True,网红经济、抖音概念(字节概念)、农业种植、华为概念、乡村振兴、雄安新区、虚拟现实、PPP模式
600726,华电能源,5,20260525,20260529,5,公用事业,黑龙江,沪市主板,10.13,757.2515578639684,>200亿,10-20元,,0,1996-07-01,30.154688569472963,False,False,央国企改革、AB股、电力、公用事业、中盘成长、中盘股、黑龙江、火力发电
600162,香江控股,5,20260525,20260529,5,房地产,广东板块,沪市主板,2.79,91.1894236038,50-100亿,<5元,,1,1998-06-09,28.216290212183434,False,False,粤港自贸、养老概念、深圳特区、房地产开发、红利股、昨日首板、广东板块、住宅开发
000056,*ST皇庭,5,20260525,20260529,5,房地产,广东板块,ST/深市主板,1.6,14.459731324271846,<20亿,<5元,,1,1996-07-08,30.135523613963038,False,True,半导体概念、国产芯片、租售同权、参股保险、深圳特区、AB股、广东板块、物业管理
603378,*ST亚士,5,20260512,20260518,5,建筑材料,上海板块,ST/沪市主板,5.64,24.1728506088,20-50亿,5-10元,,0,2017-09-28,8.91170431211499,False,True,雄安新区、一带一路、装修建材、涂料、上海板块、建筑材料、建筑节能
002856,*ST美芝,5,20260511,20260515,5,建筑装饰,广东板块,ST/深市主板,17.98,22.2780188514,20-50亿,10-20元,,0,2017-03-20,9.437371663244353,False,True,装修装饰Ⅱ、央国企改革、深圳特区、广东板块、装修装饰Ⅲ、建筑装饰
603828,*ST利达,5,20260430,20260511,5,建筑装饰,江苏板块,ST/沪市主板,5.82,34.68368618079682,20-50亿,5-10元,,0,2015-02-26,11.498973305954825,False,True,装配建筑、装修装饰Ⅱ、PPP模式、股权激励、2026中报首亏、江苏板块、装修装饰Ⅲ、建筑装饰
603045,福达合金,5,20260430,20260511,5,有色金属,浙江板块,沪市主板,68.35,92.57676344068636,50-100亿,>50元,,4,2018-05-17,8.279260780287474,False,False,数据中心、新能源车、5G概念、充电桩、小金属概念、智能家居、智慧城市、风能
002081,金 螳 螂,5,20260428,20260507,5,建筑装饰,江苏板块,深市主板,7.14,188.79897618959998,100-200亿,5-10元,,0,2006-11-20,19.76728268309377,False,False,商业航天、装配建筑、半导体概念、装修装饰Ⅱ、PPP模式、电商概念、长江三角
603272,*ST联翔,5,20260424,20260506,5,轻工制造,浙江板块,ST/沪市主板,28.14,29.1606378,20-50亿,20-50元,,2,2022-05-20,4.271047227926078,False,True,家居用品、2026中报首亏、浙江板块、其他家居用品、轻工制造、专精特新
603318,水发燃气,5,20260422,20260428,5,公用事业,辽宁板块,沪市主板,13.78,63.2599733272,50-100亿,10-20元,,2,2015-04-24,11.342915811088295,False,False,氦气概念、天然气、一带一路、央国企改革、公用事业、2026中报扭亏、油气资源、辽宁板块
