date,code,name,price,pct,amount,float_mv,total_mv,turnover,lianban,first_seal,last_seal,seal_amt,open_times,industry,zt_days,zt_count,market_flag
20260813,000802,北京文化,6.26,10.017574310302734,851181584,4479305471.3,4481535602.559999,19.00722885131836,4,92500,93012,167948914,1,影视院线,4,4,0
20260813,002329,皇氏集团,4.62,10.0,719355840,3010359308.88,3845706406.08,24.268428802490234,4,92500,102530,55585530,4,饮料乳品,4,4,0
20260813,300862,蓝盾光电,39.41,20.00609016418457,410157808,5969472385.87,7275791517.82,6.870922088623047,4,92500,92500,1038104524,0,通用设备,4,4,0
20260813,002575,群兴玩具,6.08,9.94575023651123,132855788,3552699040.0,3748320000.0,3.7395734786987305,1,92500,92500,119163859,0,综合Ⅱ,1,1,0
20260813,002081,金 螳 螂,4.81,10.068650245666504,131250864,12718810580.839998,12772106977.759998,1.0319429636001587,2,92500,92500,314696741,0,装修装饰,2,2,0
20260813,002172,澳洋健康,4.13,10.133333206176758,96348778,3160031214.9,3162474679.84,3.0489819049835205,2,92500,92500,100492390,0,医疗服务,2,2,0
20260813,605286,同力天启,34.09,10.003227233886719,77650202,5727120000.000001,5727120000.000001,1.3558332920074463,4,92500,92500,91146433,0,专用设备,4,4,1
20260813,002322,理工能科,11.86,10.018552780151367,63711374,4167377817.9399996,4335161700.48,1.528812050819397,1,92500,92500,78142527,0,软件开发,1,1,0
20260813,001260,坤泰股份,21.03,9.98953914642334,40159918,2418450000.0,2418450000.0,1.6605643033981323,2,92500,92500,292252879,0,汽车零部,2,2,0
20260813,300333,兆日科技,10.64,19.954904556274414,33540153,3562059912.88,3575040000.0,0.9415943026542664,2,92500,92500,181695343,0,计算机设,2,2,0
20260813,603887,城地香江,12.49,10.044053077697754,228054748,7519347468.29,7519347505.76,3.0329060554504395,3,92501,92501,271131671,0,IT服务Ⅱ,3,3,1
20260813,600683,京投发展,12.93,10.042552947998047,24367878,9578254329.21,9578254368.0,0.2544083297252655,4,92502,92502,164111439,0,房地产开,4,4,1
20260813,603236,移远通信,59.43,9.994447708129883,528639712,23947484131.41,23947483953.12,2.207495927810669,1,92503,92503,334783096,0,通信设备,1,1,1
20260813,603758,秦安股份,15.35,10.035842895507812,76897943,6648331352.15,6648331336.8,1.1566503047943115,5,92503,92503,179320235,0,汽车零部,5,5,1
20260813,000887,中鼎股份,23.69,9.981430053710938,1823019824,31137439703.52,31187642035.36,5.857362270355225,2,93000,143642,358524270,1,汽车零部,2,2,0
20260813,000936,华西股份,6.34,10.06944465637207,164090241,5616525716.58,5617321659.2,2.9228405952453613,2,93000,93000,128980490,0,化学纤维,2,2,0
20260813,002174,游族网络,13.38,10.032894134521484,413420400,13102485981.960001,13109870644.800001,3.183117151260376,1,93118,93118,157483938,0,游戏Ⅱ,1,1,0
20260813,600800,渤海化学,3.74,10.0,84934146,4150391007.84,4151569107.84,2.0694580078125,1,93140,93331,53830942,2,炼化及贸,1,1,1
20260813,600821,金开新能,7.15,10.0,551932544,14066373413.95,14066373464.0,3.9969160556793213,1,93419,93419,94058250,0,电力,1,1,1
20260813,603118,共进股份,15.96,9.993108749389648,1724498048,12564931439.76,12564931344.0,13.890349388122559,1,93518,143606,89279234,4,通信设备,1,1,1
20260813,603912,佳力图,8.89,10.024752616882324,320037216,4821280718.1,4821280700.320001,6.709406852722168,1,93558,94334,59252543,1,通用设备,1,1,1
20260813,600881,亚泰集团,2.27,10.194174766540527,639190464,7336982742.76,7336982751.84,8.891862869262695,3,93626,94056,100036670,1,综合Ⅱ,3,3,1
20260813,000692,惠天热电,4.88,9.909910202026367,211175964,2600224922.88,2600224922.88,8.545989036560059,2,93654,93654,29426400,0,电力,6,3,0
20260813,600726,华电能源,6.8,10.032362937927246,955907808,50832286214.4,53769886105.6,1.9281272888183594,1,93804,93904,119053713,1,电力,1,1,1
20260813,603956,威派格,7.99,10.055096626281738,281289344,4553551225.14,4553551241.12,6.309895992279053,1,94030,94230,75903402,1,专用设备,1,1,1
20260813,000972,中基健康,3.82,10.086455345153809,60160346,2946303271.7799997,2946303290.88,2.0872278213500977,1,94224,94224,11397940,0,农产品加,1,1,0
20260813,603466,风语筑,13.72,10.02405834197998,1919907936,8161046910.240001,8161046965.120001,24.011913299560547,2,94849,144707,10245615,28,数字媒体,2,2,1
20260813,605179,一鸣食品,33.43,10.003290176391602,853829920,13405430000.0,13405430000.0,6.478780746459961,4,94859,143035,34526504,9,饮料乳品,13,9,1
20260813,002437,誉衡药业,4.25,10.10362720489502,1954086352,8925653866.75,9476939544.0,22.89737319946289,2,95136,95154,68343565,1,化学制药,5,4,0
20260813,601999,出版传媒,6.74,9.95106029510498,204019781,3713165078.0,3713165104.96,5.553574085235596,1,95307,142119,13055380,2,出版,1,1,1
20260813,601579,会稽山,17.45,10.025219917297363,325595200,8366636487.049999,8366636469.599999,4.011416912078857,1,95541,95541,69933876,0,非白酒,1,1,1
20260813,300404,博济医药,14.45,20.016611099243164,822925504,4125700593.3999996,5574072240.8,21.429893493652344,1,95733,95733,94091247,0,医疗服务,1,1,0
20260813,603261,立航科技,57.37,10.009587287902832,162719393,4446463112.139999,4446463112.139999,3.768465518951416,1,100110,112819,72905796,1,航空装备,1,1,1
20260813,002219,新里程,2.5,10.132158279418945,599082640,8179678550.0,8629804400.0,7.555253505706787,1,100245,100245,63616952,0,医疗服务,1,1,0
20260813,600613,神奇制药,5.83,10.0,131927351,2794435471.7400002,3113637614.56,4.874977111816406,1,100435,100435,101291352,0,化学制药,1,1,1
20260813,601886,江河集团,11.53,10.019083976745605,499265088,13063513751.8,13063513797.92,4.0250067710876465,2,101014,132556,11568890,3,装修装饰,4,3,1
20260813,603330,天洋新材,9.71,9.966024398803711,631392224,3949185463.3,4201261122.0800004,16.617544174194336,2,101437,130643,46783168,7,塑料,2,2,1
20260813,002706,良信股份,9.99,10.022026062011719,669327440,9134668088.1,11220018989.76,7.489111423492432,1,101748,102848,47013139,1,电网设备,1,1,0
