代码,SECUCODE,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,_absnet,in_streak,连板数,有机构,机构买入家数,净买亿,买亿,卖亿,阶段
600664,600664.SH,哈药股份,20260715,买一主买，成功率46.48%,4.49,10.049,112253422.77,147476110.77,35222688.0,182698798.77,494184337.0,22.714888831048,36.969767168076,4.4293,11308109343.24,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.02227171,18.70824053,33.18485523,19.37639198,112253422.77,True,4,False,,1.1225342276999999,1.4747611077,0.35222688,中位(3-4板)
002412,002412.SZ,汉森制药,20260825,3家机构买入，成功率37.62%,12.33,9.9911,-102295843.37,98383197.86,200679041.23,299062239.09,1236227036.0,-8.274842758737,24.191530388921,21.2659,6138428850.0,日涨幅偏离值达到7%的前5只证券,6.16382806,13.70640714,,,102295843.37,True,5,True,3.0,-1.0229584337,0.9838319786,2.0067904123,高位(5板+)
600745,600745.SH,*ST闻泰,20260601,浙江资金买入，成功率42.10%,21.7,4.9831,-94854798.04,61442884.0,156297682.04,217740566.04,734410881.0,-12.915766976497,29.648330610723,0.1827,27009342949.4,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券,5.02304147,-0.23041475,-3.640553,-15.99078341,94854798.04,True,6,False,,-0.9485479804000001,0.61442884,1.5629768203999999,高位(5板+)
600664,600664.SH,哈药股份,20260716,买一主买，成功率48.76%,4.94,10.0223,93558469.38,223971859.0,130413389.62,354385248.62,1959157065.0,4.775445065197,18.088659401078,11.7842,12441438787.44,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,7.89473684,7.48987854,21.45748988,12.55060729,93558469.38,True,5,False,,0.9355846938,2.23971859,1.3041338962,高位(5板+)
600397,600397.SH,江钨装备,20260617,1家机构买入，成功率48.23%,18.36,10.006,86143842.87,468263476.2,382119633.33,850383109.53,3653077014.0,2.358117349836,23.278543164324,14.7259,18175663433.52,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.02178649,21.02396514,39.86928105,55.22875817,86143842.87,True,2,True,1.0,0.8614384287000001,4.682634762,3.8211963332999996,低位(1-2板)
002412,002412.SZ,汉森制药,20260824,1家机构买入，成功率37.00%,11.21,10.0098,84384276.42,143830884.42,59446608.0,203277492.42,633477153.0,13.320808180749,32.089159247074,7.3328,5580842450.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99107939,16.77074041,,,84384276.42,True,4,True,1.0,0.8438427642,1.4383088441999998,0.59446608,中位(3-4板)
002412,002412.SZ,汉森制药,20260820,买一主买，成功率31.35%,9.26,9.9762,80924230.02,115269627.02,34345397.0,149615024.02,302421473.0,26.758757973512,49.472354768935,0.8734,4610044700.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.04319654,21.05831533,51.40388769,,80924230.02,True,2,False,,0.8092423002,1.1526962701999999,0.34345397,低位(1-2板)
600403,600403.SH,大有能源,20260602,普通席位买入，成功率49.62%,6.12,10.0719,78113722.0,94046652.0,15932930.0,109979582.0,153175912.0,50.996087426592,71.799528113794,1.0472,14631771900.24,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,9.96732026,20.91503268,31.69934641,8.16993464,78113722.0,True,2,False,,0.78113722,0.94046652,0.1593293,低位(1-2板)
601991,601991.SH,大唐发电,20260512,普通席位买入，成功率54.33%,6.7,10.0164,-74214279.91,627178395.35,701392675.26,1328571070.61,6209912409.0,-1.195093827772,21.394360871894,5.511,83053797010.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0,7.46268657,25.07462687,6.86567164,74214279.91,True,5,False,,-0.7421427990999999,6.2717839535,7.0139267526,高位(5板+)
603318,603318.SH,水发燃气,20260424,普通席位买入，成功率45.69%,11.39,10.0483,70498824.0,114250567.0,43751743.0,158002310.0,320295243.0,22.010574787088,49.330208129254,3.5154,5228817824.36,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.00877963,20.9833187,27.3046532,1.22914838,70498824.0,True,3,False,,0.70498824,1.14250567,0.43751743,中位(3-4板)
600721,600721.SH,百花医药,20260805,普通席位买入，成功率39.72%,8.71,9.9747,69501084.47,139171166.51,69670082.04,208841248.55,545248093.0,12.746690059492,38.302059416831,10.8226,3349409900.85,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.98851894,21.01033295,61.07921929,57.52009185,69501084.47,True,2,False,,0.6950108447,1.3917116650999999,0.6967008204,低位(1-2板)
